n,kappa,alpha,gamma,reps,p_grid_size,fixed_left_tail,valid_fixed_coverage,invalid_posthoc_coverage,coverage_gap_posthoc_minus_valid
4.0,0.75,0.05,0.05,8000.0,61.0,0.0065626809584308585,0.945125,0.90125,-0.043875
8.0,1.0,0.05,0.05,8000.0,61.0,0.04999999,0.9525,0.92275,-0.029750000000000054
