n,kappa,method,left_tail,A,B,mean_length,median_length,p90_length,mean_to_median,true_power
2,0.25,Equal-tail,0.025,0.0009820691171752555,5.023886187314882,0.20785692725082552,0.10200627810257967,0.6069331451195956,2.0376875925401396,0.07509410176377751
2,0.25,Expected-opt,4.470533307236645e-07,3.1393413963232417e-13,3.8414738127639336,0.19250510872168863,0.08763010476885136,0.5611934886525665,2.1967919498609993,0.07509410176377751
2,0.25,Median-MC,5.931215250107435e-05,5.5259537851102745e-09,3.8434491099667865,0.19253005915399082,0.08765518612281309,0.5613024666665783,2.196448010323522,0.07509410176377751
2,0.25,Median-opt,4.470533307236645e-07,3.1393413963232417e-13,3.8414738127639336,0.19250510872168863,0.08763010476885136,0.5611934886525665,2.1967919498609993,0.07509410176377751
2,0.5,Equal-tail,0.025,0.0009820691171752555,5.023886187314882,0.34156007331159716,0.23373428751299674,0.8513648095212416,1.4613177935761983,0.10582289051537352
2,0.5,Expected-opt,4.470533307236645e-07,3.1393413963232417e-13,3.8414738127639336,0.3209301042711209,0.20304105299228337,0.865213865460148,1.5806168237480425,0.10582289051537352
2,0.5,Median-MC,5.931215250107435e-05,5.5259537851102745e-09,3.8434491099667865,0.3209603866396199,0.20309750830394824,0.8652679936935131,1.5803265599855731,0.10582289051537352
2,0.5,Median-opt,4.470533307236645e-07,3.1393413963232417e-13,3.8414738127639336,0.3209301042711209,0.20304105299228337,0.865213865460148,1.5806168237480425,0.10582289051537352
2,0.75,Equal-tail,0.025,0.0009820691171752555,5.023886187314882,0.44151647346196654,0.36159420864980885,0.9004238550981557,1.221027502377837,0.1411096987600533
2,0.75,Expected-opt,4.470533307236645e-07,3.1393413963232417e-13,3.8414738127639336,0.42000883094223096,0.32033660725808877,0.940271529895397,1.3111484027295022,0.1411096987600533
2,0.75,Median-MC,0.00021791664921961447,7.459345318675012e-08,3.8487835638848757,0.4200941308725804,0.3206351345219881,0.9390675741371198,1.3101936925872724,0.1411096987600533
2,0.75,Median-opt,4.470533307236645e-07,3.1393413963232417e-13,3.8414738127639336,0.42000883094223096,0.32033660725808877,0.940271529895397,1.3111484027295022,0.1411096987600533
2,1.0,Equal-tail,0.025,0.0009820691171752555,5.023886187314882,0.5192107884018258,0.47561981745178494,0.913689094043796,1.0916508718740674,0.1795624872519782
2,1.0,Expected-opt,4.470533307236645e-07,3.1393413963232417e-13,3.8414738127639336,0.4993822975601629,0.42968996550546656,0.9494327564581888,1.1621921330481004,0.1795624872519782
2,1.0,Median-MC,0.00010139696893879849,1.6149899534359486e-08,3.844862830997577,0.49940943088658746,0.42985736608977554,0.9486767813230081,1.1618026589366064,0.1795624872519782
2,1.0,Median-opt,5.681108856462026e-07,5.069744805277802e-13,3.8414778724903336,0.49938234072512594,0.42969016608517785,0.9494326538256666,1.1621916909919063,0.1795624872519782
2,1.25,Equal-tail,0.025,0.0009820691171752555,5.023886187314882,0.5809113106333254,0.5731547502301925,0.9190831567850498,1.013533099743163,0.21981623415137164
2,1.25,Expected-opt,0.0005618410088478406,4.958460058866879e-07,3.8604129490709314,0.5643105212260654,0.5291185177971973,0.9481897336340883,1.0665106252099772,0.21981623415137164
2,1.25,Median-MC,9.597274245172699e-05,1.446823950169185e-08,3.84468054865915,0.5643441538209423,0.528536487218291,0.949508803515978,1.0677487126595713,0.21981623415137164
2,1.25,Median-opt,0.0002848739231973128,1.2747507867114456e-07,3.851040976264457,0.5643260672112761,0.5286108587462314,0.9489135375174254,1.0675642731777297,0.21981623415137164
